rho_15_6,rho_15_14,rho_15_15,image_name,cosine_sim,sal_diff_norm,SmoothHR_Score_0.4,SmoothLR_Score_0.4,SmoothHR_Score_0.5,SmoothLR_Score_0.5,SmoothHR_Score_0.55,SmoothLR_Score_0.55,SmoothHR_Score_0.6,SmoothLR_Score_0.6,SmoothHR_Score_0.65,SmoothLR_Score_0.65,SmoothHR_Score_0.7,SmoothLR_Score_0.7,SmoothHR_Score_0.75,SmoothLR_Score_0.75,SmoothSqHR_Score_0.4,SmoothSqLR_Score_0.4,SmoothSqHR_Score_0.5,SmoothSqLR_Score_0.5,SmoothSqHR_Score_0.55,SmoothSqLR_Score_0.55,SmoothSqHR_Score_0.6,SmoothSqLR_Score_0.6,SmoothSqHR_Score_0.65,SmoothSqLR_Score_0.65,SmoothSqHR_Score_0.7,SmoothSqLR_Score_0.7,SmoothSqHR_Score_0.75,SmoothSqLR_Score_0.75,Unnamed: 0_grad,HR_Score_0.4_grad,LR_Score_0.4_grad,HR_Score_0.5_grad,LR_Score_0.5_grad,HR_Score_0.55_grad,LR_Score_0.55_grad,HR_Score_0.6_grad,LR_Score_0.6_grad,HR_Score_0.65_grad,LR_Score_0.65_grad,HR_Score_0.7_grad,LR_Score_0.7_grad,HR_Score_0.75_grad,LR_Score_0.75_grad,Unnamed: 0_norm,HR_Score_0.4_norm,LR_Score_0.4_norm,HR_Score_0.5_norm,LR_Score_0.5_norm,HR_Score_0.55_norm,LR_Score_0.55_norm,HR_Score_0.6_norm,LR_Score_0.6_norm,HR_Score_0.65_norm,LR_Score_0.65_norm,HR_Score_0.7_norm,LR_Score_0.7_norm,HR_Score_0.75_norm,LR_Score_0.75_norm
0.23107755,0.0875695,0.9999999,COVID-3541.png,0.5306157,20.80009,0.2212389380335186,0.0807453416098916,0.2702702701972242,0.1016949152370008,0.37499999984375,0.1111111110802469,0.4666666663555555,0.1904761903854875,0.3999999996,0.2666666664888888,0.4999999991666666,0.3333333330555555,0.9999999966666668,0.2499999996874999,0.4999999996428571,0.185185185116598,0.6249999992187499,0.2499999997916666,0.6666666655555555,0.3333333329629629,0.9999999966666668,0.2499999996874999,0.999999995,0.3333333327777777,0.999999995,0.3333333327777777,0.999999995,0.0,10,0.6979865767127608,0.6993464047716691,0.7241379302021403,0.6989247304312638,0.7076923066035503,0.6901408440983933,0.7090909078016528,0.714285713010204,0.7173913027882798,0.7083333318576389,0.6578947351108033,0.6756756738495252,0.7096774170655566,0.677419352653486,10,0.6599999993400001,0.5934065927544983,0.535714284757653,0.5636363626115702,0.4634146330160618,0.4054054043097151,0.4333333318888889,0.27999999888,0.4117647034602076,0.2105263146814404,0.3076923053254438,0.199999998,0.0,0.0
-0.17345631,-0.09216396,1.0,COVID-1364.png,0.7187174,6.8701863,0.1704545454448605,0.1093749999829101,0.0722891566177964,0.099999999975,0.0606060605968778,0.1999999999,0.0909090908884297,0.24999999984375,0.0909090908815427,0.3333333329629629,0.0869565217013232,0.1666666663888888,0.1176470587543252,0.0,0.0535714285618622,0.149999999925,0.0624999999804687,0.0,0.0833333332986111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.4262295078473528,0.4615384611439842,0.4736842096952908,0.5384615374260355,0.4999999986111111,0.5277777763117284,0.5666666647777777,0.6071428549744898,0.5909090882231405,0.6190476160997732,0.7272727206611571,0.6999999930000002,0.8571428448979593,0.8571428448979593,11,0.0222222221728395,0.0277777777006172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07725704,-0.069531076,0.9999999,COVID-1226.png,0.5900192,22.264206,0.0754716980989676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.7874015741831484,0.7819548866301091,0.8048780477989292,0.7934782600070889,0.8281249987060547,0.8260869553245117,0.8478260851134215,0.8269230753328403,0.7878787854912764,0.8108108086194302,0.739130431568998,0.7857142829081633,0.7058823487889273,0.7272727239669421,12,0.3736263732157952,0.4583333328559028,0.3124999993489583,0.4461538454674557,0.3589743580539118,0.4130434773629489,0.3571428558673469,0.394736841066482,0.2727272714876033,0.4374999986328124,0.0714285709183673,0.4090909072314049,0.0,0.3999999973333333
0.21757104,-0.10696011,1.0,COVID-2080.png,0.6166081,17.566992,0.0,0.0135135135116873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.1615384614142012,0.1666666665343915,0.1309523807964852,0.1447368419148199,0.101694915081873,0.1129032256243496,0.088888888691358,0.088888888691358,0.1111111106995884,0.129032257648283,0.0,0.0,0.0,0.0,13,0.0243902438429506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.075225,-0.0032006288,0.9999998,COVID-1769.png,0.5667639,12.216976,0.3826086956410838,0.5709570956907275,0.3684210526100338,0.5510204081257809,0.3418803418511213,0.5360824741715379,0.316455696162474,0.5084745761850044,0.3469387754394002,0.5405405403944485,0.3235294116695502,0.5185185183264746,0.380952380770975,0.5624999996484374,0.2833333332861111,0.6129032257405481,0.2142857142346938,0.6382978722046174,0.2413793102615933,0.6388888887114197,0.1999999999,0.7142857139455782,0.3076923074556212,0.7857142851530612,0.3333333329629629,0.8999999991,0.5999999988,0.9999999985714286,14,0.2020202018161412,0.2061855667977468,0.0588235292964244,0.0408163264473136,0.0526315788088642,0.0512820511505588,0.0689655170035671,0.0666666664444444,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.535053,0.0018088795,1.0,MIDRC-RICORD-1C-419639-001122-44476-1.png,0.45392418,20.973875,0.0,0.0175438596460449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.4553775742665039,0.3888888883487654,0.3230769228284024,0.380952379138322,0.2535211264034914,0.2499999979166667,0.1714285709387755,0.1666666638888889,0.1578947360110803,0.0,0.0666666662222222,0.0,0.0909090900826446,0.0,15,0.0,0.0428571427959183,0.0,0.0277777777006172,0.0,0.0370370368998628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08953711,-0.16897056,1.0000001,COVID-2660.png,0.5564067,20.863474,0.5300925925803219,0.2979591836613078,0.4948453607992347,0.3148148147856653,0.4772727272365702,0.2837837837454346,0.4886363635808368,0.2444444443901234,0.4827586206064209,0.159999999936,0.5757575755831037,0.09999999995,0.5555555553497942,0.0,0.5862068965011891,0.2459016393039505,0.578124999909668,0.1470588234861591,0.539999999892,0.1304347825519848,0.5609756096192743,0.1176470587543252,0.5666666664777777,0.142857142755102,0.6190476187528344,0.1666666665277777,0.6999999992999999,0.0,16,0.6016949147443263,0.5891472863650021,0.6666666654320987,0.6769230758816569,0.6756756738495252,0.7317073152885187,0.7826086922495273,0.7857142829081633,0.7058823487889273,0.7222222182098765,0.6153846106508877,0.6923076869822486,0.6249999921875001,0.6249999921875001,16,0.1964285710778061,0.1884057968283974,0.1111111108641975,0.0999999998,0.108108107815924,0.023255813899405,0.1428571423469387,0.0,0.0909090904958677,0.0,0.1333333324444444,0.0,0.0,0.0
0.28126743,0.12153236,0.99999994,MIDRC-RICORD-1C-SITE2-000118-60279-0.png,-0.3195073,34.02886,0.1343283581889062,0.481481481303155,0.0,0.470588235017301,0.0,0.4999999995833333,0.0,0.6666666659259258,0.0,0.9999999975,0.0,0.9999999975,0.0,0.999999995,0.0,0.7272727266115702,0.0,0.7499999990624999,0.0,0.7499999981250001,0.0,0.7499999981250001,0.0,0.999999995,0.0,0.999999995,0.0,0.999999995,17,0.5704467351991591,0.2499999979166667,0.5777777774567902,0.0,0.5679999995456,0.0,0.5747126430175717,0.0,0.5571428563469388,0.0,0.5319148924852874,0.0,0.51515151359045,0.0,17,0.2941176453287197,0.2857142850340136,0.3749999953125001,0.3846153816568047,0.5999999880000002,0.4545454504132232,0.7499999812500004,0.5555555493827161,0.9999999500000026,0.9999999800000005,0.9999999500000026,0.9999999800000005,0.99999990000001,0.9999999750000006
0.09225328,-0.078403644,1.0,COVID-3084.png,0.52521384,19.1385,0.0,0.2352941175778546,0.0,0.3157894735180055,0.0,0.3333333331111111,0.0,0.4545454541322313,0.0,0.4999999994999999,0.0,0.6666666655555555,0.0,0.5999999988,0.0,0.2941176468858131,0.0,0.4444444439506172,0.0,0.4444444439506172,0.0,0.3333333327777777,0.0,0.49999999875,0.0,0.6666666644444444,0.0,0.6666666644444444,18,0.8035714278539541,0.8306451606204475,0.8656716404989976,0.8684210514889197,0.8703703687585733,0.91071428408801,0.8918918894813732,0.8947368397506925,0.8846153812130177,0.8928571396683673,0.84999999575,0.869565213610586,0.7999999920000002,0.8888888839506173,18,0.4090909072314049,0.2307692298816568,0.3636363603305785,0.1666666657407407,0.3333333277777778,0.0769230763313609,0.199999996,0.099999999,0.199999996,0.0,0.0,0.0,0.0,0.0
0.4314333,0.4348537,1.0,COVID-3309.png,0.48509824,26.855715,0.6655172413563615,0.4723618090214893,0.6499999999535714,0.4022988505284714,0.6813186812438112,0.3676470587694637,0.6349206348198538,0.4081632652228238,0.5675675674141709,0.4705882351557093,0.5454545452066115,0.5909090906404958,0.4999999996428571,0.9090909082644628,0.7323943660940291,0.568181818052686,0.7435897433990796,0.6190476187528344,0.7407407404663923,0.8333333326388889,0.74999999953125,0.9999999988888888,0.749999999375,0.99999999875,0.6666666659259258,0.9999999985714286,0.8333333319444445,0.9999999983333332,19,0.3533834583809147,0.3893805306288668,0.3134328353530853,0.3220338977592645,0.3272727266776859,0.2820512813280736,0.2647058815743944,0.2916666654513888,0.2499999989583333,0.1764705871972318,0.1764705871972318,0.0,0.0,0.0,19,0.0879999999296,0.120689655068371,0.0396039603568277,0.1052631577839335,0.0389610389104402,0.0921052630367036,0.0499999999166666,0.1111111109053498,0.0833333331018518,0.1562499995117187,0.0624999998046875,0.0833333329861111,0.0416666664930555,0.1428571418367347
